19/06 00:31:00 FINE sim.Admin|Log for simulation 1 started
19/06 00:33:40 INFO demand.CampaignImpl|Campaign 1662462994 ended for advertiser DummyAdnetwork-3. Stats CampaignStats [tartgetedImps=9971.672155366123, otherImps=0.0, cost=5.163868420925594] Reach 5647 ERR 1.2681042463775314 Budget 2.236 Revenue 2.8354810949001603
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Quality Ratings... Quality Retings DummyAdnetwork: 0.9543119541360396DummyAdnetwork-7: 0.8815948660670626DummyAdnetwork-6: 0.8803381547672161adv1: 0.33759405592736824DummyAdnetwork-5: 0.7616927091451099DummyAdnetwork-4: 1.1148402861417315DummyAdnetwork-3: 0.9482077961380233DummyAdnetwork-2: 0.4
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Reporting campaign auction results... CampaignImpl [id=725015365, reachImps=11765, dayStart=17, dayEnd=26, targetSegment=[MALE, YOUNG], videoCoef=2.836242321418095, mobileCoef=2.2944609440106767, budgetMillis=3874, advertiser=DummyAdnetwork-6]
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Reporting UCS auction results... DummyAdnetwork[efday=16, level=1.0, price=0.17700032066945548] DummyAdnetwork-7[efday=16, level=0.47829690000000014, price=0.0] adv1[efday=16, level=0.6561000000000001, price=0.07545429996134732] DummyAdnetwork-6[efday=16, level=0.81, price=0.13089966243191029] DummyAdnetwork-5[efday=16, level=0.9, price=0.15253169253889415] DummyAdnetwork-4[efday=16, level=0.7290000000000001, price=0.1020460604545069] DummyAdnetwork-3[efday=16, level=0.5904900000000002, price=0.061413225218366695] DummyAdnetwork-2[efday=16, level=0.5314410000000002, price=0.055135753424846744] 
19/06 00:33:40 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@179fbfea
19/06 00:33:40 INFO agents.DemandAgent|Day 16 :Notifying new campaign opportunity: CampaignImpl [id=2029037507, reachImps=729, dayStart=18, dayEnd=20, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.387251708483914, mobileCoef=2.363020486715719, budgetMillis=0, advertiser=null]
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0010927010385239982
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 1.236801516089699E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 7.711075439547794E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.0013738713747861405
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 7.470528205809427E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 1.84089406680494E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.00333043283005186
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0010240696922647384
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.002748812682325974
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.012959999999999998
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 5.615277492835848E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0058175597286247716
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 1.478739676512673E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.0011709617557295303
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 4.8245869356163856E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.001313022218590943
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.006747061847653696
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.001360716881224342
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 0.0012404833740719266
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.0011742872020755308
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 0.0015045316564013611
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 0.0014509733348769757
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.00269225477308807
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.003560188316527649
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.00350931473459579
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.0010077695999999997
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 4.701849845759998E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.006636299562991331
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.001479452614326089
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 0.0017023800156924795
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.003938039547026365
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0011759589240205883
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.006557116962553503
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.0013766060344891204
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 9.322575080126115E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.0015628644946467235
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 7.361246147025255E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 0.001796506079776959
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.0036775310945303154
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0035559992389224567
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0026074803693871863
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 9.591361909378991E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 0.001434795355327266
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.00703538503403347
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.0010038396480267354
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 0.0015514012110517089
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.006081219540663108
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 8.330405328554491E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 3.7305144879530805E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 2.642613541340892E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 2.510150457460037E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 5.881806082422835E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 8.312322611344283E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 2.1767823359999992E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 4.996736305636203E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0016386201212683354
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0011131934567309714
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 6.553872802625821E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 0.001214159789793603
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0012900749999454205
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 0.0015150082436343982
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 7.1787543803598E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 8.413626794617493E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updating reserve prices for ebay
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0012416843295072013
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.003980733246656136
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.0013029528822679729
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 8.776933758847999E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.0011110238853866614
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 0.0011396858508936586
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.0029650106815642652
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 0.0016144816256811049
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0025343651974736657
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0015530897895164341
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 2.2620817019895477E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 5.3570515961010025E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.006140046521140353
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 1.4542729532500482E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 6.382215974433344E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.002529143219658976
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0012280818988305168
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.0011511405060516664
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 8.505052491274476E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 7.706904682989256E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 6.879189425838868E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 3.373927571479235E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.002549786576275635
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 6.109830591749497E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0019602978332790965
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0018010147629340422
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 5.060349450146853E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 6.102800561829851E-5
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.004672224279736257
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 1.3352406780795287E-4
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.0015743401915023242
19/06 00:33:40 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.001764280810195511
19/06 00:33:40 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
19/06 00:33:40 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 44
19/06 00:33:40 INFO sim.Simulation|***** START OF TIME 16 COMPLETE *****
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.10804289907921581 Cmp ID: 2029037507 Cmp Bid: 19
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.13631133363595924 Cmp ID: 2029037507 Cmp Bid: 218
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.13725480309440463 Cmp ID: 2029037507 Cmp Bid: 680
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.19790788346300336 Cmp ID: 2029037507 Cmp Bid: 315
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.1785367334331846 Cmp ID: 2029037507 Cmp Bid: 31
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.12377248879254686 Cmp ID: 2029037507 Cmp Bid: 661
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.12168936518252209 Cmp ID: 2029037507 Cmp Bid: 246
19/06 00:33:40 FINE agents.DemandAgent|Day 16 :Got AdNetBidMessage from adv1 : UCS Bid: 0.12855137428216015 Cmp ID: 2029037507 Cmp Bid: 612
19/06 00:33:50 INFO sim.Simulation|***** START OF TIME 17 *****
19/06 00:33:50 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #419955441 at price 6.343
19/06 00:33:50 INFO demand.CampaignImpl|Applied daily limit for campaign #419955441 at price 6.343
19/06 00:33:50 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #725015365 at price 3.874
19/06 00:33:50 INFO demand.CampaignImpl|Applied daily limit for campaign #725015365 at price 3.874
19/06 00:33:50 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #621562665 at price 9.765
19/06 00:33:50 INFO demand.CampaignImpl|Applied daily limit for campaign #621562665 at price 9.765
19/06 00:33:50 INFO agents.DemandAgent|Day 17 : Auction pending campaign: CampaignImpl [id=2029037507, reachImps=729, dayStart=18, dayEnd=20, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.387251708483914, mobileCoef=2.363020486715719, budgetMillis=0, advertiser=null]
19/06 00:33:50 INFO demand.CampaignImpl|Campaign 7760328 ended for advertiser adv1. Stats CampaignStats [tartgetedImps=4930.830486364086, otherImps=0.0, cost=1.4388008807390638] Reach 3865 ERR 1.1692636531770075 Budget 0.907 Revenue 1.0605221334315458
19/06 00:33:50 FINE agents.DemandAgent|Day 17 :Quality Ratings... Quality Retings DummyAdnetwork: 0.9543119541360396DummyAdnetwork-7: 0.8815948660670626DummyAdnetwork-6: 0.8803381547672161adv1: 0.8365958142771518DummyAdnetwork-5: 0.7616927091451099DummyAdnetwork-4: 1.1148402861417315DummyAdnetwork-3: 0.9482077961380233DummyAdnetwork-2: 0.4
19/06 00:33:50 FINE agents.DemandAgent|Day 17 :Reporting campaign auction results... CampaignImpl [id=2029037507, reachImps=729, dayStart=18, dayEnd=20, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.387251708483914, mobileCoef=2.363020486715719, budgetMillis=249, advertiser=DummyAdnetwork-7]
19/06 00:33:50 FINE agents.DemandAgent|Day 17 :Reporting UCS auction results... DummyAdnetwork[efday=17, level=0.9, price=0.1429717905176996] DummyAdnetwork-7[efday=17, level=0.5904900000000002, price=0.06377467785901497] adv1[efday=17, level=0.81, price=0.11799047201049942] DummyAdnetwork-6[efday=17, level=0.47829690000000014, price=0.0] DummyAdnetwork-5[efday=17, level=1.0, price=0.16089765145422696] DummyAdnetwork-4[efday=17, level=0.7290000000000001, price=0.09988190239486607] DummyAdnetwork-3[efday=17, level=0.6561000000000001, price=0.07656330691029613] DummyAdnetwork-2[efday=17, level=0.5314410000000002, price=0.05389128558335964] 
19/06 00:33:50 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@14efd3db
19/06 00:33:50 INFO agents.DemandAgent|Day 17 :Notifying new campaign opportunity: CampaignImpl [id=222157210, reachImps=4752, dayStart=19, dayEnd=21, targetSegment=[FEMALE, YOUNG, LOW_INCOME], videoCoef=2.874908566149035, mobileCoef=2.2160946246146938, budgetMillis=0, advertiser=null]
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.001985624972678972
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 7.420809096538195E-5
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 4.626645263728676E-5
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.001350640954789564
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 4.4823169234856564E-5
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 1.1045364400829639E-4
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.001998259698031116
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 6.14441815358843E-4
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0016492876093955845
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.012959999999999998
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 3.369166495701509E-5
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.0034905358371748628
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 8.872438059076038E-5
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.001554411297052681
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 2.8947521613698312E-5
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0019067177011312247
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.005241275527330796
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.00204504513533049
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 7.442900244431559E-4
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.001204009567021848
19/06 00:33:50 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 0.0011336289754250153
